Date,Name,Group,UFC_cover,MADC_cover
10.15.2020,IVALIENTE,Alfalfa,101.9,246
10.15.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.7,252.3
10.16.2020,ILSOURIBOUL,Alfalfa,103.9,255.8
10.16.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.16.2020,ISCASHEBOUL,Alfalfa,103.6,255
10.16.2020,ILANDER,Alfalfa,103.5,254
10.16.2020,IPLATBOULETTE,Alfalfa,103.8,253.5
10.16.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.16.2020,IEGADELAVEGABOULE,Alfalfa,103.7,253
10.16.2020,IPFLAPBOULETTE,Alfalfa,103.5,251.4
10.16.2020,IVALIENTE,Alfalfa,103.4,251.4
10.16.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.7,252.3
10.17.2020,ILSOURIBOUL,Alfalfa,103.9,255.8
10.17.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.17.2020,ISCASHEBOUL,Alfalfa,103.6,255
10.17.2020,ILANDER,Alfalfa,103.5,254
10.17.2020,IPLATBOULETTE,Alfalfa,103.8,253.5
10.17.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
